Unnamed: 0	Analysis of efficacy
0	Comparisons of postoperative CA19-9 levels on survival of ESPAC-4 with the CONOKO-01 and JASPAC-1 trials
1	Pattern of disease relapse
2	Grade 1–5 adverse events with gemcitabine alone and gemcitabine plus capecitabine
3	Treatment with zoledronic acid
4	Treatment with docetaxel
5	Treatments ever used at relapse, at the discretion of the treating clinician
6	Worst adverse event  (grade)  reported over entire time on trial
7	Chemotherapy delivery and trial drug discontinuation
8	Adverse events
9	Screening effectiveness for selective and universal ultrasonographic screening for infants who are small and severely small for gestational age
10	Diagnostic effectiveness of selective versus universal ultrasonographic screening for infants who are small and severely small for gestational age
11	Association between perinatal outcomes of estimated fetal weight less than the 10th percentile and abdominal circumference growth velocity
12	Age started smoking regularly versus cause-specific mortality rate ratio  (RR)  among urban and rural men in about 2010  (second study)  and about 1995  (first study)
13	Amount last smoked versus cause-specific mortality rate ratio  (RR)  among urban and rural men in about 2010  (second study)  and about 1995  (first study)
14	Deaths attributed to tobacco in China, 2010
15	Percentage contribution of disease categories to total deaths by age groups in states grouped by ETL, 2016
16	Percentage contribution of disease categories to total deaths by age groups for all of India, 2016
17	Change in summary exposure value of individual leading risk factors in states grouped by ETL from 1990 to 2016
18	Male deaths attributed to smoking and total male deaths in the study, by population group and disease category
19	Female deaths attributed to smoking and total female deaths in the study, by population group and disease category
20	Primary and secondary outcomes
21	Serious adverse events related to hypotension
22	Side-effects potentially related to blood-pressure management
23	Randomised trials of long-term blood-pressure lowering in patients with stroke or TIA  *
24	Association of birthweight, conditional relative weight gain, and conditional height with adverse outcomes
25	Total dose received by patients and dose intensity achieved
26	Response to treatment
27	Grade 3 or 4 adverse events
28	Antibiotic therapy by class and treatment group
29	Antibiotic-associated diarrhoea and morbidity in the first 3 weeks after recruitment
30	Additional colonic investigation by reason for investigation, overall and by sex
31	Results of additional colonic investigation, by reason for investigation
32	Detection rates of colorectal cancer and large polyps
33	Serious adverse events by treatment and body system affected
34	Circumstances of death and indications for coronial referral
35	Autopsy causes of death by type of pathology and organs involved
36	Major discrepancy rate between autopsy and radiology cause of death
37	Comparison of the two independent reports for MRI and CT
38	Most common sources of major discrepancy between autopsy and consensus radiology cause of death
39	Late effects of treatment
40	Primary outcomes at 6 and 12 months
41	Secondary outcomes at 6 and 12 months
42	Additional secondary outcomes at 6 and 12 months
43	Medication use at 6 and 12 months
44	Cancer incidence and cancer mortality by site
45	Effects of allocation to simvastatin plus ezetimibe on muscle and hepatobiliary system
46	Treatment received
47	Main outcome measures
48	Toxic effects, weeks 1–12
49	Factors associated with OTU outcome  (multivariate analysis)
50	Effects of maternal anthelmintic treatment in pregnancy on infant response to BCG, tetanus, and measles immunisation
51	Effect of maternal anthelmintic treatment on response to BCG, tetanus, and measles immunisation, by maternal helminth infection status
52	Effects of maternal anthelmintic treatment in pregnancy on incidence of malaria, diarrhoea, and pneumonia in infancy
53	Effect of maternal anthelmintic treatment in pregnancy on disease incidence, by maternal helminth status
54	Effects of Phytoestrogens in Basic, Animal and Human Studies ∗
55	Final Cox Proportional Hazards Model for Hard Events
56	Predicted Rates of Hard Events by Six-Month Intervals in Patients With No History of Previous CAD
57	Predicted Rates of Hard Events by Six-Month Intervals in Patients With History of Known CAD
58	Time  (Days)  From Index Test to 0.5%, 1.0%, 1.5%, and 2.0% Predicted Risk of Hard Events in Patients With No History of Previous Coronary Artery Disease
