entity_term,entity_name
11-beta-hydroxylase deficiency,adverse
17 ketosteroids urine decreased,adverse
17 ketosteroids urine low,adverse
17 ketosteroids urine high,adverse
17 ketosteroids urine increased,adverse
Ketosteroids urine elevated,adverse
"17,20-desmolase deficiency",adverse
17-alpha-hydroxylase deficiency,adverse
"20,22-desmolase deficiency",adverse
21-hydroxylase deficiency,adverse
5'nucleotidase increased,adverse
5-alpha-reductase deficiency,adverse
Abdomen crushing,adverse
Abdominal adhesions,adverse
Intestinal adhesions,adverse
Bowel adhesions,adverse
Abdo. discomfort,adverse
Abdomen burning sensation of,adverse
Abdominal discomfort,adverse
Abdominal distress,adverse
Burning in abdomen,adverse
Burning sensation in abdomen,adverse
Discomfort abdominal,adverse
Distress abdominal,adverse
Distress gastrointestinal,adverse
Gastrointestinal upset,adverse
GI upset,adverse
Lower abdomen pressure sensation of,adverse
Lower abdomen strange feeling of,adverse
Lower abdomen tense feeling of,adverse
Lower abdominal pressure sensation of,adverse
Pressure sensation of right hypochondrium,adverse
Stomach discomfort,adverse
Stomach feeling heavy,adverse
Stomach heaviness,adverse
Stomach irritated feeling of,adverse
Stomach pressure sensation of,adverse
Stomach upset,adverse
Upset gastrointestinal,adverse
Upset stomach,adverse
Gastrointestinal discomfort,adverse
Bowel discomfort,adverse
Upper abdominal discomfort,adverse
Upper abdominal pressure sensation,adverse
Lower abdominal discomfort,adverse
Right upper abdominal discomfort,adverse
Right lower abdominal discomfort,adverse
Left lower abdominal discomfort,adverse
Left upper abdominal discomfort,adverse
Abdo. bloating,adverse
Abdomen enlarged,adverse
Abdomen enlarged feeling of,adverse
Abdominal distension,adverse
Abdominal distension gaseous,adverse
Abdominal fullness,adverse
Bloated feeling,adverse
Bloating,adverse
Bloating NOS,adverse
Distended abdomen,adverse
Distension NOS,adverse
Distention,adverse
Enlargement abdomen,adverse
Epigastric fullness,adverse
Feeling of fullness in abdomen,adverse
Feeling of gastrointestinal fullness,adverse
Fullness abdominal,adverse
Gastrointestinal fullness,adverse
Stomach fullness,adverse
Swelling abd,adverse
Swelling abdomen,adverse
Swollen abdomen,adverse
Abdominal bloating,adverse
Bloated feeling general,adverse
Abdominal mass,adverse
Abdominal mass NOS,adverse
"Abdominal or pelvic swelling, mass, or lump",adverse
Mass in abdomen,adverse
Pseudoneoplasm abdominal,adverse
Abd. pain,adverse
Abdo pain,adverse
Abdominal colic,adverse
Abdominal cramp,adverse
Abdominal cramps,adverse
Abdominal crampy pains,adverse
Abdominal pain,adverse
Abdominal pain generalised,adverse
Abdominal pain localised,adverse
Abdominal pain NOS,adverse
Belly ache,adverse
Central abdominal pain,adverse
Colic,adverse
Colic abdominal,adverse
Colicky,adverse
Cramp abdominal,adverse
Duodenal ulcer-type symptoms,adverse
Griping abdomen,adverse
Griping abdominal,adverse
Pain abdo,adverse
Pain abdominal,adverse
Tummy ache,adverse
Abdominal pain aggravated,adverse
Spleen pain,adverse
Periumbilical pain,adverse
Abdominal pain generalized,adverse
Abdominal pain localized,adverse
Functional abdominal pain,adverse
Postprandial pain,adverse
Peritoneal pain,adverse
Chronic abdominal pain,adverse
Mesogastric pain,adverse
Abdominal pain lower,adverse
Cramp in lower abdomen,adverse
Hypogastric pain,adverse
Iliac fossa pain,adverse
Lower abdominal pain,adverse
Left lower quadrant pain,adverse
Right lower quadrant pain,adverse
Abdominal pain peptic ulcer type,adverse
Abdominal pain upper,adverse
Ache stomach,adverse
Epigastric ache,adverse
Epigastric pain,adverse
Epigastric pain epigastralgia,adverse
Epigastric pain not food-related,adverse
Gastric pain,adverse
Hypochondrial pain,adverse
Hypochondrium pain right,adverse
Pain epigastric,adverse
Pain gastric,adverse
Pain hunger,adverse
Pain right upper quadrant,adverse
Pain right upper quandrant,adverse
Pain stomach,adverse
Right upper quadrant pain,adverse
RUQ pain,adverse
Stomach ache,adverse
Stomach dull pain of,adverse
Stomach pain,adverse
Stomachache,adverse
Ulcer type pain,adverse
Upper abdominal pain,adverse
Epigastralgia,adverse
Stomach cramps,adverse
Hypochondrium pain left,adverse
Splenic flexure syndrome,adverse
Left upper quadrant pain,adverse
Pancreatic pain,adverse
Gastric spasm,adverse
Gastralgia,adverse
Chronic epigastric pain,adverse
Acute gastric pain,adverse
Epigastric cramp,adverse
Abdominal guarding,adverse
Abdominal rigidity,adverse
Rebound & guarding,adverse
Abdominal spasm,adverse
Peritonism,adverse
Abdominal tenderness,adverse
Tenderness epigastric,adverse
Lower abdominal tenderness,adverse
Upper abdominal tenderness,adverse
Abdominal transposition,adverse
Visceral transposition (excl dextrocardia),adverse
Abdominal wall abscess,adverse
Abdominal wall anomaly,adverse
"Anomalies of abdominal wall, congenital",adverse
Abnormal dreams,adverse
Bizarre dreams,adverse
Dream delirium,adverse
Dreaming abnormal,adverse
Dreaming excessive,adverse
Dreaming excessive due to poor sleep,adverse
Dreams abnormal,adverse
Dreams bizarre unusual or frightening,adverse
Morbid dreams,adverse
Vivid dreams,adverse
Lucid dreams,adverse
Erotic dreams,adverse
Abnormal faeces,adverse
Abnormal feces,adverse
Abnormal stools,adverse
Faecal abnormality NOS,adverse
Fecal abnormality NOS,adverse
Feces abnormal,adverse
Feces abnormal smell of,adverse
Nonspecific abnormal findings in stool contents,adverse
Stools abnormal,adverse
Stool odour abnormal,adverse
Stool odor abnormal,adverse
Abnormal labor,adverse
Abnormal labour,adverse
Abnormality of forces of labor,adverse
Abnormality of forces of labour,adverse
Labor abnormal,adverse
Unspecified abnormality of labor,adverse
"Unspecified abnormality of labor, antepartum",adverse
