,Unnamed: 0,entity_term,entity_name
0,0,11-beta-hydroxylase deficiency,adverse
1,1,17 ketosteroids urine decreased,adverse
2,2,17 ketosteroids urine low,adverse
3,3,17 ketosteroids urine high,adverse
4,4,17 ketosteroids urine increased,adverse
5,5,Ketosteroids urine elevated,adverse
6,6,"17,20-desmolase deficiency",adverse
7,7,17-alpha-hydroxylase deficiency,adverse
8,8,"20,22-desmolase deficiency",adverse
9,9,21-hydroxylase deficiency,adverse
10,10,5'nucleotidase increased,adverse
11,11,5-alpha-reductase deficiency,adverse
12,12,Abdomen crushing,adverse
13,13,Abdominal adhesions,adverse
14,14,Intestinal adhesions,adverse
15,15,Bowel adhesions,adverse
16,16,Abdo. discomfort,adverse
17,17,Abdomen burning sensation of,adverse
18,18,Abdominal discomfort,adverse
19,19,Abdominal distress,adverse
20,20,Burning in abdomen,adverse
21,21,Burning sensation in abdomen,adverse
22,22,Discomfort abdominal,adverse
23,23,Distress abdominal,adverse
24,24,Distress gastrointestinal,adverse
25,25,Gastrointestinal upset,adverse
26,26,GI upset,adverse
27,27,Lower abdomen pressure sensation of,adverse
28,28,Lower abdomen strange feeling of,adverse
29,29,Lower abdomen tense feeling of,adverse
30,30,Lower abdominal pressure sensation of,adverse
31,31,Pressure sensation of right hypochondrium,adverse
32,32,Stomach discomfort,adverse
33,33,Stomach feeling heavy,adverse
34,34,Stomach heaviness,adverse
35,35,Stomach irritated feeling of,adverse
36,36,Stomach pressure sensation of,adverse
37,37,Stomach upset,adverse
38,38,Upset gastrointestinal,adverse
39,39,Upset stomach,adverse
40,40,Gastrointestinal discomfort,adverse
41,41,Bowel discomfort,adverse
42,42,Upper abdominal discomfort,adverse
43,43,Upper abdominal pressure sensation,adverse
44,44,Lower abdominal discomfort,adverse
45,45,Right upper abdominal discomfort,adverse
46,46,Right lower abdominal discomfort,adverse
47,47,Left lower abdominal discomfort,adverse
48,48,Left upper abdominal discomfort,adverse
49,49,Abdo. bloating,adverse
50,50,Abdomen enlarged,adverse
51,51,Abdomen enlarged feeling of,adverse
52,52,Abdominal distension,adverse
53,53,Abdominal distension gaseous,adverse
54,54,Abdominal fullness,adverse
55,55,Bloated feeling,adverse
56,56,Bloating,adverse
57,57,Bloating NOS,adverse
58,58,Distended abdomen,adverse
59,59,Distension NOS,adverse
60,60,Distention,adverse
61,61,Enlargement abdomen,adverse
62,62,Epigastric fullness,adverse
63,63,Feeling of fullness in abdomen,adverse
64,64,Feeling of gastrointestinal fullness,adverse
65,65,Fullness abdominal,adverse
66,66,Gastrointestinal fullness,adverse
67,67,Stomach fullness,adverse
68,68,Swelling abd,adverse
69,69,Swelling abdomen,adverse
70,70,Swollen abdomen,adverse
71,71,Abdominal bloating,adverse
72,72,Bloated feeling general,adverse
73,73,Abdominal mass,adverse
74,74,Abdominal mass NOS,adverse
75,75,"Abdominal or pelvic swelling, mass, or lump",adverse
76,76,Mass in abdomen,adverse
77,77,Pseudoneoplasm abdominal,adverse
78,78,Abd. pain,adverse
79,79,Abdo pain,adverse
80,80,Abdominal colic,adverse
81,81,Abdominal cramp,adverse
82,82,Abdominal cramps,adverse
83,83,Abdominal crampy pains,adverse
84,84,Abdominal pain,adverse
85,85,Abdominal pain generalised,adverse
86,86,Abdominal pain localised,adverse
87,87,Abdominal pain NOS,adverse
88,88,Belly ache,adverse
89,89,Central abdominal pain,adverse
90,90,Colic,adverse
91,91,Colic abdominal,adverse
92,92,Colicky,adverse
93,93,Cramp abdominal,adverse
94,94,Duodenal ulcer-type symptoms,adverse
95,95,Griping abdomen,adverse
96,96,Griping abdominal,adverse
97,97,Pain abdo,adverse
98,98,Pain abdominal,adverse
99,99,Tummy ache,adverse
100,100,Abdominal pain aggravated,adverse
101,101,Spleen pain,adverse
102,102,Periumbilical pain,adverse
103,103,Abdominal pain generalized,adverse
104,104,Abdominal pain localized,adverse
105,105,Functional abdominal pain,adverse
106,106,Postprandial pain,adverse
107,107,Peritoneal pain,adverse
108,108,Chronic abdominal pain,adverse
109,109,Mesogastric pain,adverse
110,110,Abdominal pain lower,adverse
111,111,Cramp in lower abdomen,adverse
112,112,Hypogastric pain,adverse
113,113,Iliac fossa pain,adverse
114,114,Lower abdominal pain,adverse
115,115,Left lower quadrant pain,adverse
116,116,Right lower quadrant pain,adverse
117,117,Abdominal pain peptic ulcer type,adverse
118,118,Abdominal pain upper,adverse
119,119,Ache stomach,adverse
120,120,Epigastric ache,adverse
121,121,Epigastric pain,adverse
122,122,Epigastric pain epigastralgia,adverse
123,123,Epigastric pain not food-related,adverse
124,124,Gastric pain,adverse
125,125,Hypochondrial pain,adverse
126,126,Hypochondrium pain right,adverse
127,127,Pain epigastric,adverse
128,128,Pain gastric,adverse
129,129,Pain hunger,adverse
130,130,Pain right upper quadrant,adverse
131,131,Pain right upper quandrant,adverse
132,132,Pain stomach,adverse
133,133,Right upper quadrant pain,adverse
134,134,RUQ pain,adverse
135,135,Stomach ache,adverse
136,136,Stomach dull pain of,adverse
137,137,Stomach pain,adverse
138,138,Stomachache,adverse
139,139,Ulcer type pain,adverse
140,140,Upper abdominal pain,adverse
141,141,Epigastralgia,adverse
142,142,Stomach cramps,adverse
143,143,Hypochondrium pain left,adverse
144,144,Splenic flexure syndrome,adverse
145,145,Left upper quadrant pain,adverse
146,146,Pancreatic pain,adverse
147,147,Gastric spasm,adverse
148,148,Gastralgia,adverse
149,149,Chronic epigastric pain,adverse
150,150,Acute gastric pain,adverse
151,151,Epigastric cramp,adverse
152,152,Abdominal guarding,adverse
153,153,Abdominal rigidity,adverse
154,154,Rebound & guarding,adverse
155,155,Abdominal spasm,adverse
156,156,Peritonism,adverse
157,157,Abdominal tenderness,adverse
158,158,Tenderness epigastric,adverse
159,159,Lower abdominal tenderness,adverse
160,160,Upper abdominal tenderness,adverse
161,161,Abdominal transposition,adverse
162,162,Visceral transposition (excl dextrocardia),adverse
163,163,Abdominal wall abscess,adverse
164,164,Abdominal wall anomaly,adverse
165,165,"Anomalies of abdominal wall, congenital",adverse
166,166,Abnormal dreams,adverse
167,167,Bizarre dreams,adverse
168,168,Dream delirium,adverse
169,169,Dreaming abnormal,adverse
170,170,Dreaming excessive,adverse
171,171,Dreaming excessive due to poor sleep,adverse
172,172,Dreams abnormal,adverse
173,173,Dreams bizarre unusual or frightening,adverse
174,174,Morbid dreams,adverse
175,175,Vivid dreams,adverse
176,176,Lucid dreams,adverse
177,177,Erotic dreams,adverse
178,178,Abnormal faeces,adverse
179,179,Abnormal feces,adverse
180,180,Abnormal stools,adverse
181,181,Faecal abnormality NOS,adverse
182,182,Fecal abnormality NOS,adverse
183,183,Feces abnormal,adverse
184,184,Feces abnormal smell of,adverse
185,185,Nonspecific abnormal findings in stool contents,adverse
186,186,Stools abnormal,adverse
187,187,Stool odour abnormal,adverse
188,188,Stool odor abnormal,adverse
189,189,Abnormal labor,adverse
190,190,Abnormal labour,adverse
191,191,Abnormality of forces of labor,adverse
192,192,Abnormality of forces of labour,adverse
193,193,Labor abnormal,adverse
194,194,Unspecified abnormality of labor,adverse
195,195,"Unspecified abnormality of labor, antepartum",adverse
196,196,"Unspecified abnormality of labor, with delivery",adverse
197,197,Unspecified abnormality of labour,adverse
198,198,Labour abnormal,adverse
199,199,"Unspecified abnormality of labour, antepartum",adverse
200,200,"Unspecified abnormality of labour, with delivery",adverse
201,201,Abnormal labour affecting foetus,adverse
202,202,Abnormal labor affecting fetus,adverse
203,203,Abnormal loss of weight,adverse
204,204,Unintentional weight loss,adverse
205,205,Abnormal palmar/plantar creases,adverse
206,206,Abnormal single palmar crease,adverse
207,207,Simian crease,adverse
208,208,Abnormal sensation in eye,adverse
209,209,Blear eye feeling,adverse
210,210,Cold feeling in eye,adverse
211,211,Dry eye sensation,adverse
212,212,Dry-eye feeling,adverse
213,213,Eye strange sensation of,adverse
214,214,Eyes cold feeling of,adverse
215,215,Eyes dry feeling of,adverse
216,216,Eyes feel sticky,adverse
217,217,Sticky feeling in eyes,adverse
218,218,Warmness in eyes,adverse
219,219,Sticky eye sensation,adverse
220,220,Abnormal weight gain,adverse
221,221,ABO haemolytic disease of newborn,adverse
222,222,ABO hemolytic disease of newborn,adverse
223,223,ABO incompatibility,adverse
224,224,"ABO incompatibility reaction, not elsewhere classified",adverse
