,year,division,match_id,half_type,play_time,goal_range
0,2013,1,2013-1-001,1,29,1
1,2013,1,2013-1-001,1,32,2
2,2013,1,2013-1-001,2,2,3
3,2013,1,2013-1-001,2,38,5
4,2013,1,2013-1-002,1,4,0
5,2013,1,2013-1-002,2,44,5
6,2013,1,2013-1-002,2,46,5
7,2013,1,2013-1-003,1,28,1
8,2013,1,2013-1-004,1,9,0
9,2013,1,2013-1-004,1,22,1
10,2013,1,2013-1-004,2,27,4
11,2013,1,2013-1-006,1,2,0
12,2013,1,2013-1-006,2,1,3
13,2013,1,2013-1-006,2,6,3
14,2013,1,2013-1-006,2,24,4
15,2013,1,2013-1-007,1,3,0
16,2013,1,2013-1-007,1,37,2
17,2013,1,2013-1-007,2,23,4
18,2013,1,2013-1-007,2,41,5
19,2013,1,2013-1-008,1,17,1
20,2013,1,2013-1-008,2,14,3
21,2013,1,2013-1-008,2,31,5
22,2013,1,2013-1-009,1,28,1
23,2013,1,2013-1-009,1,35,2
24,2013,1,2013-1-009,2,6,3
25,2013,1,2013-1-009,2,23,4
26,2013,1,2013-1-009,2,33,5
27,2013,1,2013-1-010,1,11,0
28,2013,1,2013-1-011,1,7,0
29,2013,1,2013-1-011,1,43,2
30,2013,1,2013-1-012,1,38,2
31,2013,1,2013-1-012,1,42,2
32,2013,1,2013-1-012,2,13,3
33,2013,1,2013-1-013,2,14,3
34,2013,1,2013-1-014,1,38,2
35,2013,1,2013-1-014,2,36,5
36,2013,1,2013-1-015,1,29,1
37,2013,1,2013-1-015,2,2,3
38,2013,1,2013-1-016,1,39,2
39,2013,1,2013-1-016,2,13,3
40,2013,1,2013-1-016,2,20,4
41,2013,1,2013-1-016,2,45,5
42,2013,1,2013-1-018,1,16,1
43,2013,1,2013-1-018,2,1,3
44,2013,1,2013-1-019,1,17,1
45,2013,1,2013-1-020,2,6,3
46,2013,1,2013-1-021,1,22,1
47,2013,1,2013-1-021,1,32,2
48,2013,1,2013-1-022,1,39,2
49,2013,1,2013-1-022,1,41,2
50,2013,1,2013-1-022,2,2,3
