	id	Topic_Num	Topic_Perc_Contribu	Topic_Keywords	Origin_Text	Text
0	44029	0.0	0.2935	analysi, multivari, regress, variabl, model, predictor, cardiac, time, univari, heart	Hazard Ratio  (and 95% Confidence Intervals)  in Univariate and Multivariate Analysis of Predictors of Major Cardiac Events  (Cardiac Death or Worsening of Heart Failure Leading to Heart Transplantation)	['hazard', 'ratio', 'confid', 'interv', 'univari', 'multivari', 'analysi', 'predictor', 'major', 'cardiac', 'event', 'cardiac', 'death', 'worsen', 'heart', 'failur', 'lead', 'heart', 'transplant']
1	23344	0.0	0.2836	analysi, multivari, regress, variabl, model, predictor, cardiac, time, univari, heart	Left Ventricular and Right Ventricular Ejection Fractions, Left Ventricular and Right Ventricular Mean Phases, Left-to-Right Mean Phase Difference  (L-RMP)  and Phase Standard Deviations for Both Ventricles in 30 Cases of Left Sided WPW legend	['leav', 'ventricular', 'right', 'ventricular', 'eject', 'fraction', 'leav', 'ventricular', 'right', 'ventricular', 'mean', 'phase', 'leav', 'right', 'mean', 'phase', 'differ', 'rmp', 'phase', 'standard', 'deviat', 'ventricl', 'case', 'leav', 'side', 'wpw']
2	41163	0.0	0.2817	analysi, multivari, regress, variabl, model, predictor, cardiac, time, univari, heart	Partial Regression Coefficients  (All Subjects, n = 262)  for Forward Stepwise Linear Regression for Dependent Variables Augmentation Pressure and Augmentation Index    legend	['partial', 'regress', 'coeffici', 'subject', 'forward', 'stepwis', 'linear', 'regress', 'depend', 'variabl', 'augment', 'pressur', 'augment', 'index']
3	23343	0.0	0.2797	analysi, multivari, regress, variabl, model, predictor, cardiac, time, univari, heart	Left Ventricular  (LVEF)  and Right Ventricular  (RVEF)  Ejection Fractions, Left Ventricular  (LVMP)  and Right Ventricular  (RVMP)  Mean Phases, Left-to-Right Mean Phase Difference  (L-RMP)  and Phase Standard Deviations  (LVPSD and RVPSD)  for Both Ventricles in 14 Cases of Right Sided WPW legend	['leav', 'ventricular', 'lvef', 'right', 'ventricular', 'rvef', 'eject', 'fraction', 'leav', 'ventricular', 'lvmp', 'right', 'ventricular', 'rvmp', 'mean', 'phase', 'leav', 'right', 'mean', 'phase', 'differ', 'rmp', 'phase', 'standard', 'deviat', 'lvpsd', 'rvpsd', 'ventricl', 'case', 'right', 'side', 'wpw']
4	24968	0.0	0.2782	analysi, multivari, regress, variabl, model, predictor, cardiac, time, univari, heart	Predictors of Mortality by Multivariable Analysis: Variables Are Shown in the Order They Entered a Stepwise Cox Regression Model	['predictor', 'mortal', 'multivari', 'analysi', 'variabl', 'show', 'order', 'enter', 'stepwis', 'cox', 'regress', 'model']
5	43918	0.0	0.2774	analysi, multivari, regress, variabl, model, predictor, cardiac, time, univari, heart	Logistic Regression Models for Pre- and Post-Transplant Predictors for Normalization of Left Ventricular Ejection Fraction  (LVEF 50%)  in the Post-Transplant Period  (Reference Group: Group With LVEF 50% in the Post-Transplant Period)	['logist', 'regress', 'model', 'pre', 'post', 'transplant', 'predictor', 'normal', 'leav', 'ventricular', 'eject', 'fraction', 'lvef', 'post', 'transplant', 'period', 'refer', 'group', 'group', 'lvef', 'post', 'transplant', 'period']
6	33660	0.0	0.2742	analysi, multivari, regress, variabl, model, predictor, cardiac, time, univari, heart	Results of Survival Analysis  (Cox Proportional Hazards Model)  for the Combined End Point: Cardiac Mortality + Urgent Heart Transplantation + Readmission for Congestive Heart Failure	['result', 'surviv', 'analysi', 'cox', 'proport', 'hazard', 'model', 'combin', 'end', 'point', 'cardiac', 'mortal', 'urgent', 'heart', 'transplant', 'readmiss', 'congest', 'heart', 'failur']
7	42080	0.0	0.2725	analysi, multivari, regress, variabl, model, predictor, cardiac, time, univari, heart	Impact of Normal Versus Reduced Left Ventricular Ejection Fraction on the Mortality of Congestive Heart Failure Cases: Results of Cox Proportional Hazards Regression Models	['impact', 'normal', 'versus', 'reduc', 'leav', 'ventricular', 'eject', 'fraction', 'mortal', 'congest', 'heart', 'failur', 'case', 'result', 'cox', 'proport', 'hazard', 'regress', 'model']
8	43914	0.0	0.2684	analysi, multivari, regress, variabl, model, predictor, cardiac, time, univari, heart	Description of the Left Ventricular Ejection Fraction  (LVEF%)  at Different Time Periods: At the Time of Transplant Evaluation, While on the Waiting List to be Transplanted, and During the Follow-Up After Kidney Transplantation	['descript', 'leav', 'ventricular', 'eject', 'fraction', 'lvef', 'differ', 'time', 'period', 'time', 'transplant', 'evalu', 'wait', 'list', 'transplant', 'follow', 'kidney', 'transplant']
9	18857	0.0	0.2664	analysi, multivari, regress, variabl, model, predictor, cardiac, time, univari, heart	Univariate Cox Regression Analysis and Cox Proportional Hazards Analysis of Predictors of Cardiac Death legend	['univari', 'cox', 'regress', 'analysi', 'cox', 'proport', 'hazard', 'analysi', 'predictor', 'cardiac', 'death']
